,horizon,mse,rmse,mae,mape,coverage
841,294 days 00:00:00.000000000,251.93028301619339,15.872311835904478,13.875809861632636,0.35060514670369664,0.20089285714285715
524,294 days 00:00:00.000000000,252.35049588546372,15.885543613155443,13.904276017069012,0.3513489464533213,0.19642857142857142
1803,294 days 00:00:00.000000000,249.83797757658027,15.80626387153461,13.831027638267983,0.3494855791051637,0.19642857142857142
2126,294 days 00:00:00.000000000,250.2536563587772,15.81940758558225,13.848613744762954,0.3497315051004493,0.19642857142857142
201,294 days 00:00:00.000000000,248.8725825001207,15.77569594344797,13.814802154738832,0.34914800823946734,0.19642857142857142
1483,295 days 00:00:00.000000000,248.95588923054896,15.778336072937126,13.816651882903987,0.3491514745961644,0.19642857142857142
2127,295 days 00:00:00.000000000,249.40761417600334,15.792644306005354,13.835172362545254,0.34940738770246554,0.19642857142857142
1804,295 days 00:00:00.000000000,249.8145099865017,15.805521503148881,13.86545290254006,0.3500713798991565,0.19196428571428573
525,295 days 00:00:00.000000000,250.37407802207832,15.823213264760048,13.90241409993072,0.35097735600483226,0.1875
202,295 days 00:00:00.000000000,251.51866464738018,15.859339981455097,13.958298700171643,0.35250136183067965,0.18303571428571427
1163,296 days 00:00:00.000000000,254.032635616944,15.938401287988203,14.001682275196888,0.3541710967823151,0.18303571428571427
2128,296 days 00:00:00.000000000,252.61838373878618,15.893973189193009,13.962894424582487,0.35240986230208854,0.18303571428571427
1805,296 days 00:00:00.000000000,252.55605521991063,15.892012308701206,13.959761558411701,0.3521134391852578,0.18303571428571427
1484,296 days 00:00:00.000000000,254.80222576709158,15.962525670052706,14.041431200846237,0.3546094578786675,0.17857142857142858
203,296 days 00:00:00.000000000,255.577382769857,15.98678775645242,14.078872601735124,0.3558254751907618,0.17857142857142858
1164,297 days 00:00:00.000000000,260.7182623084694,16.14677250438828,14.195861969888199,0.35900582272618514,0.17857142857142858
842,297 days 00:00:00.000000000,260.88376827273413,16.151896739167636,14.203740560315095,0.3590292700982679,0.17857142857142858
1485,297 days 00:00:00.000000000,260.8210818272225,16.149956093662375,14.202311707831159,0.35888271878202105,0.17857142857142858
2129,297 days 00:00:00.000000000,259.2048378803999,16.09983968492854,14.159625944868358,0.3576331542767091,0.17857142857142858
1806,297 days 00:00:00.000000000,259.33807899547526,16.103977117329595,14.1695212176022,0.3578918122666924,0.17857142857142858
1486,298 days 00:00:00.000000000,261.1864252007494,16.16126310659997,14.229342226531442,0.359377223639207,0.17857142857142858
526,298 days 00:00:00.000000000,261.39739981121977,16.16778895864304,14.239053941881577,0.3597426155820419,0.17857142857142858
1807,298 days 00:00:00.000000000,261.2105927968897,16.162010790643897,14.229109891077226,0.35933069202171275,0.18303571428571427
843,298 days 00:00:00.000000000,261.72475514009693,16.177909479907992,14.262851858673757,0.360166390086448,0.17857142857142858
1165,298 days 00:00:00.000000000,266.287617664632,16.31832153331439,14.366964912682663,0.363309179468012,0.17857142857142858
844,299 days 00:00:00.000000000,266.8320646407614,16.334995091543842,14.401017229758347,0.3641028373182739,0.17410714285714285
527,299 days 00:00:00.000000000,267.1143467546911,16.34363321769952,14.41284041772109,0.36401550619905393,0.17410714285714285
1166,299 days 00:00:00.000000000,271.73872688992367,16.484499594768526,14.518022328541608,0.3669403185172208,0.17410714285714285
1487,299 days 00:00:00.000000000,273.79394742468503,16.546720141003323,14.597536108861464,0.3692226355014139,0.16964285714285715
204,299 days 00:00:00.000000000,274.1947141394729,16.558825868384297,14.612558435566452,0.3694939919136266,0.16964285714285715
528,300 days 00:00:00.000000000,274.5376978973201,16.569179155809742,14.626700932802114,0.369670314734121,0.16964285714285715
845,300 days 00:00:00.000000000,274.6508619087217,16.572593698897034,14.63166141627104,0.36992526480026555,0.16964285714285715
1167,300 days 00:00:00.000000000,277.53075808563557,16.65925442766379,14.683876990857309,0.37119225164673936,0.16964285714285715
205,300 days 00:00:00.000000000,276.7128025097919,16.63468672713111,14.661806844137752,0.37046277810205147,0.16964285714285715
2130,300 days 00:00:00.000000000,275.07360207630035,16.585342989407856,14.618458806542785,0.3692234803260069,0.16964285714285715
1808,301 days 00:00:00.000000000,275.3931181437443,16.59497267680017,14.64480776204556,0.36977361681704374,0.16964285714285715
206,301 days 00:00:00.000000000,275.85465279935903,16.608872713081976,14.661806358442927,0.37006958328234674,0.16964285714285715
529,301 days 00:00:00.000000000,274.80684034711885,16.577298946062317,14.629954429176816,0.3689836675950792,0.16964285714285715
